timestamp,Face
25.083,1@592.3:48.5:668.7:792.2
25.125,0.97@577.9:56:724.5:772.5
25.167,0.92@588.8:64.5:678.8:780.2
25.208,
25.25,0.91@616.3:75.5:681.4:764.2
25.292,0.96@630.8:66.7:649.7:760.5
25.333,0.85@608.8:54.5:650.2:793.4
25.375,
25.458,0.95@601.3:113.6:638.6:797.5
25.5,0.84@635.9:100.5:617.3:776
25.542,
29.999,
